,imgIndex,x,y,type
2024-07-19T05:03:17,,281.51459,370.47109,A
2024-07-19T10:52:53,,298.65205,369.84086,A
2024-07-19T15:02:53,,311.44227,368.72375,A
2024-07-19T20:02:05,,327.36977,367.42021,A
2024-07-20T01:02:05,,343.33156,366.08195,A
2024-07-20T06:12:29,,360.86039,365.92045,A
2024-07-20T11:12:53,,377.56682,365.17223,A
2024-07-20T16:12:53,,394.95996,364.15483,A
2024-07-20T20:23:17,,409.66837,363.76704,A
2024-07-21T00:32:53,,424.90875,362.95951,A
2024-07-21T04:52:53,,440.3291,362.99995,A
2024-07-21T09:03:17,,454.63673,362.15198,A
2024-07-21T13:12:29,,469.56002,362.18962,A
2024-07-21T17:20:53,,484.91445,361.9176,A
2024-07-21T21:32:53,,500.42401,361.75249,A
2024-07-22T01:42:05,,514.96379,361.37281,A
2024-07-22T06:02:53,,530.9116,361.32136,A
2024-07-22T10:12:53,,545.59766,361.93413,A
2024-07-22T14:22:53,,561.25868,361.374,A
2024-07-22T18:33:17,,576.10275,361.56078,A
2024-07-22T22:42:53,,591.11051,362.08431,A
2024-07-23T02:53:17,,606.02857,362.10853,A
2024-07-23T08:02:53,,622.6634,361.25962,A
2024-07-23T13:02:29,,640.83075,362.83138,A
2024-07-23T18:02:05,,657.5561,363.56873,A
2024-07-23T23:03:17,,674.56867,363.6737,A
2024-07-24T03:13:17,,688.32554,364.44774,A
2024-07-24T08:21:41,,704.17368,363.29128,A
2024-07-24T13:22:29,,719.74708,366.10262,A
