,imgIndex,x,y,type
2024-06-05T00:42:53,,255.18629,625.80665,A
2024-06-05T05:52:29,,269.1016,625.60247,A
2024-06-05T10:52:53,,283.45599,625.40566,A
2024-06-05T15:51:41,,297.58495,625.40566,A
2024-06-05T20:52:05,,312.95493,625.99161,A
2024-06-06T01:02:29,,326.00213,625.40566,A
2024-06-06T05:22:05,,340.01891,625.72117,A
2024-06-06T09:33:41,,353.55583,625.75844,A
2024-06-06T15:22:29,,372.52568,625.52391,A
2024-06-06T20:22:29,,389.98474,626.09041,A
2024-06-07T01:22:29,,407.08609,626.09041,A
2024-06-07T07:22:05,,428.07083,625.93464,A
2024-06-07T14:02:05,,451.70371,625.95696,A
2024-06-07T19:52:29,,472.72171,626.1683,A
2024-06-08T01:42:53,,494.19608,626.73582,A
2024-06-08T09:21:41,,521.7233,626.19061,A
2024-06-08T16:02:29,,546.04578,626.11273,A
2024-06-08T23:32:29,,572.81644,626.37964,A
2024-06-09T08:52:05,,606.04031,625.85675,A
2024-06-09T14:42:05,,626.12367,625.85675,A
2024-06-09T21:22:53,,649.03325,625.83444,A
2024-06-10T05:02:29,,674.59099,625.38943,A
2024-06-10T12:32:29,,698.04578,625.70098,A
2024-06-10T18:22:29,,716.1264,625.445,A
2024-06-10T21:41:41,,726.04031,625.41175,A
