,imgIndex,x,y,type
2024-04-09T04:52:05,,263.50356,488.17803,A
2024-04-09T09:42:29,,278.20702,489.23366,A
2024-04-09T14:32:53,,293.16124,490.89159,A
2024-04-09T19:22:05,,308.73856,491.54794,A
2024-04-10T00:13:17,,325.02167,492.23011,A
2024-04-10T05:12:29,,342.29006,493.19517,A
2024-04-10T10:02:29,,358.60783,493.82223,A
2024-04-10T19:42:53,,392.90654,495.22419,A
2024-04-11T00:32:29,,410.58889,495.7294,A
2024-04-11T05:32:53,,428.79413,496.43922,A
2024-04-11T10:22:29,,446.86801,497.84117,A
2024-04-11T15:12:53,,465.14649,498.32617,A
2024-04-11T20:02:29,,483.27849,498.23271,A
2024-04-12T00:52:29,,502.34512,498.5131,A
2024-04-12T05:52:29,,521.31829,498.41963,A
2024-04-12T14:52:53,,555.52606,497.95232,A
2024-04-12T19:42:29,,574.12538,497.39153,A
2024-04-13T00:32:29,,592.5415,496.98403,A
2024-04-13T05:32:05,,611.39743,496.16953,A
2024-04-13T10:22:05,,629.61762,494.85033,A
2024-04-13T15:12:29,,647.35554,494.55226,A
2024-04-13T20:01:41,,664.73729,493.6353,A
2024-04-14T00:51:41,,681.7856,492.3647,A
2024-04-14T05:51:41,,698.66844,491.37961,A
2024-04-14T10:42:29,,714.77581,489.56078,A
2024-04-14T15:33:17,,729.8235,488.47711,A
2024-04-14T20:22:05,,744.97978,486.88822,A
2024-04-15T01:12:05,,759.78497,485.67319,A
2024-04-15T06:12:05,,774.19608,483.56142,A
2024-04-15T11:02:29,,787.61699,481.70982,A
