,imgIndex,x,y,type
2024-02-17T05:52:29,,265.67136,725.66354,A
2024-02-17T11:43:17,,280,727,A
2024-02-17T17:32:29,,295,729,A
2024-02-17T23:22:05,,311,730,A
2024-02-18T05:22:29,,328.03549,730.48225,A
2024-02-18T11:12:53,,345.03164,732.09182,A
2024-02-18T17:02:53,,362.64969,732.94367,A
2024-02-18T22:52:53,,380.86265,734.10648,A
2024-02-19T04:43:17,,399.35957,734.50309,A
2024-02-19T10:42:29,,418.96065,735.81019,A
2024-02-19T16:32:05,,437.85417,736.91435,A
2024-02-19T22:22:53,,457.45525,737.31096,A
2024-02-20T04:12:29,,477.59722,737.79321,A
2024-02-20T10:12:05,,498.3341,738.3341,A
2024-02-20T16:02:05,,518.02083,738.64506,A
2024-02-20T21:52:53,,538.73071,738.47377,A
2024-02-21T03:42:53,,558.30478,738.36111,A
2024-02-21T09:42:53,,578.44676,737.87886,A
2024-02-21T15:31:41,,598.24614,737.11265,A
2024-02-21T21:22:05,,616.88272,736.74306,A
2024-02-22T03:12:05,,635.63657,736.12114,A
2024-02-22T09:12:29,,654.50309,735.75154,A
2024-02-22T15:03:41,,672.17515,734.58873,A
2024-02-22T20:52:53,,689.90586,733.36728,A
2024-02-23T02:42:29,,706.50077,732.77238,A
2024-02-23T08:42:53,,723.09568,731.29861,A
2024-02-23T14:32:29,,738.55478,729.59491,A
2024-02-23T20:22:29,,753.39198,728.2338,A
