,imgIndex,x,y,type
2024-02-03T06:12:05,,229,418,A
2024-02-03T13:42:29,,250,420,A
2024-02-03T21:13:17,,271,422,A
2024-02-03T22:32:29,,275,422,A
2024-02-04T04:42:53,,294.56364,424.16556,A
2024-02-04T06:12:53,,299.4,424.2,A
2024-02-04T19:52:53,,343.8,426.6,A
2024-02-04T21:12:53,,347.4,426.6,A
2024-02-05T03:22:29,,369,427.8,A
2024-02-05T04:42:29,,373.8,429,A
2024-02-05T18:33:41,,424.2,430.2,A
2024-02-05T19:52:29,,429,430.2,A
2024-02-06T02:12:53,,451.8,431.4,A
2024-02-06T09:51:41,,480.6,432.6,A
2024-02-06T11:13:41,,486.10666,432.48784,A
2024-02-06T17:22:53,,508.57935,432.62449,A
2024-02-07T00:52:05,,537.11265,432.22261,A
2024-02-07T02:12:53,,541.53331,433.02636,A
2024-02-07T17:22:29,,597.79617,432.62449,A
2024-02-07T23:32:05,,620.70319,432.22261,A
2024-02-08T00:53:17,,625.52572,431.41885,A
2024-02-08T08:32:05,,652.8534,430.21322,A
2024-02-08T22:12:53,,699.47119,430.21322,A
2024-02-08T23:32:29,,703.89185,429.81134,A
2024-02-09T05:52:53,,724.3876,428.20383,A
2024-02-09T13:22:53,,747.6965,427.40008,A
2024-02-09T20:52:53,,769.39789,425.39069,A
2024-02-09T22:12:29,,773.01479,424.98881,A
2024-02-10T04:22:53,,789.49177,423.78318,A
2024-02-10T05:52:05,,793.51055,423.3813,A
2024-02-10T19:32:53,,825.98225,418.96065,A
2024-02-10T20:52:05,,828.87577,418.4784,A
