,x,y,t,xE,yE
0,819.5328467153284,545.0875912408759,0.0,3.5700520245867056,3.1309019072184303
1,200.13888888888889,456.56944444444446,1.0,3.445228405408283,2.1910575128670993
2,560.2063492063492,552.0555555555555,2.0,2.4730851509337906,4.4316780933529065
3,696.4444444444445,619.6913580246913,3.0,3.4907284605344464,3.6956496791268876
4,718.675,368.7625,4.0,2.50885930255166,2.5359601238978504
5,815.3134328358209,652.9776119402985,5.0,3.2378772999710903,3.2996300514262717
6,308.3008849557522,381.7787610619469,6.0,3.082594458793483,2.9199785223914216
7,855.2957746478874,538.2323943661971,7.0,3.465704676824456,3.6379561917271634
8,544.6990291262136,494.4466019417476,8.0,2.7933170991900287,2.9485166760801005
9,161.0625,441.25,9.0,3.2273420344213375,2.775852507403292
10,949.3846153846154,568.6153846153846,10.0,1.002954216185023,1.002954216185023
11,863.2679738562091,543.718954248366,11.0,3.8382432936196014,3.528515984120572
12,830.620253164557,558.7974683544304,12.0,5.985856320132884,2.6114632729972955
