,x,y,t,xE,yE
0,648.8297872340426,509.13475177304963,0.0,6.950303951183164,4.988715196511606
1,162.1946902654867,659.8097345132743,1.0,3.5495441738507254,5.2270647713804985
2,848.4054054054054,350.4972972972973,2.0,4.146372295636854,3.8444404567020976
3,615.1187739463602,557.55938697318,3.0,7.701151331465042,3.655851082002201
4,659.7714285714286,324.8,4.0,2.485221626055158,2.252617525077375
5,92.36206896551724,566.2586206896551,5.0,1.9537609695861569,2.367599867373229
6,591.3733333333333,505.3566666666667,6.0,3.8471576809668493,9.038221924447063
7,822.1573604060914,337.16751269035535,7.0,3.791602950075489,4.196609751597038
8,619.2292993630573,493.5732484076433,8.0,3.2864760742800003,3.817832482163213
9,616.6268115942029,570.2608695652174,9.0,6.829327633158699,7.731269415826111
10,88.16666666666667,648.4,10.0,1.2133516482134197,2.2150996967781533
11,857.944099378882,373.93167701863354,11.0,3.355256277212817,3.814200702804337
12,834.0588235294117,374.5882352941176,12.0,1.994224648641744,2.088028158741041
13,117.0909090909091,552.6363636363636,13.0,1.8067824467592533,1.931684487352343
