,x,y,t,xE,yE
0,429.5606936416185,561.9017341040462,0.0,3.5356260466829204,4.12333657458787
1,887.8965517241379,581.3218390804598,1.0,5.241379310344827,3.0209774351623473
2,719.3823529411765,361.8705882352941,2.0,3.571247153078837,3.794076607165182
3,447.1730769230769,504.9102564102564,3.0,5.1455276342770215,2.6174263021285418
4,928.0,582.4154929577464,4.0,3.171172973549222,3.7739711922336614
5,928.744,570.56,5.0,2.9527045229755045,3.4971988791031032
6,407.73873873873873,515.6396396396397,6.0,3.2179443713009706,3.092544923582299
7,465.3557046979866,506.51006711409394,7.0,3.5027770871399584,3.3968351825251495
8,431.2077922077922,498.8636363636364,8.0,4.510702028286864,2.833171280408622
9,900.5820895522388,565.5970149253732,9.0,4.538884252835394,3.056970022128962
10,440.125,565.6302083333334,10.0,3.662165798176447,4.445705319736178
11,685.0,353.5,11.0,1.224744871391589,1.0
