time,radius,xPos,yPos
2025-08-16T14:48:49,1007.4365643804123,3487.392096224315,2894.3172347473824
2025-08-16T14:49:09,1073.9441566269172,3282.103266848101,2696.7040022941237
2025-08-16T14:49:29,1076.3101895953553,3052.2881386628023,2463.033771159197
2025-08-16T14:49:50,1106.4305684357828,2838.652507366656,2254.3342623846534
2025-08-16T14:50:10,1122.0992934052995,2625.316909458408,2035.4429034742886
2025-08-16T14:50:30,1139.1279993708624,2389.90104705106,1818.4099426885412
2025-08-16T14:50:50,1106.0818517825758,2121.158740042026,1522.4459209201102
2025-08-16T14:51:10,1125.9264943007142,1833.0707360463805,1257.9657884594872
2025-08-16T14:51:30,1120.1743174553465,1596.745855074372,1007.3588412176897
2025-08-16T14:51:50,1115.2853306843015,1367.9455110438748,787.8493437694149
2025-08-16T14:52:10,1066.5724701210165,1177.6507051630042,600.9572602022041
2025-08-16T14:52:30,1080.1356800386393,938.9623652221507,362.7621104092034
