,x,y,t,xE,yE
0,1101.158266203132,1961.3971893217824,0.0,0.18071684771554167,0.24464694890107858
1,2244.4058328839783,1389.530039477069,1.0,0.016127001625350468,0.021431111166226827
2,1737.8908632804398,1636.8632868078532,2.0,0.03991477095472181,0.003921864233492557
3,2720.183691352609,1113.2050250950629,3.0,0.007168862444760507,0.003412191837058697
4,2196.320343582837,1632.172888319859,4.0,0.040268394866888046,0.05267558991532407
5,2316.893457745527,1327.7961924739539,5.0,0.1230873751566597,0.13960999518195072
6,2430.184679339083,1254.3409269293345,6.0,0.04797521923258974,0.03079591710744704
7,2348.095570139813,1318.2380536749822,7.0,0.4959685461874369,0.5109503090815337
8,2353.1611729456813,1269.1571172507809,8.0,0.006774381947010072,0.009848637908550619
9,2743.485535129256,1083.4760764111975,9.0,0.00048529536877935016,0.0009933547190769142
10,2494.51574922912,1508.9473330290098,10.0,0.020868683044961624,0.010004854949275133
11,1223.8769921948597,1694.624699994975,11.0,0.03502328294256907,0.0670098495846958
12,1836.8177766532945,1714.9319513176638,12.0,0.021826497531218934,0.06649104993745775
13,2730.9125987482844,1149.7405988541545,13.0,0.0042484427853994745,0.006855320998208305
14,2376.7185697027153,1326.8946257318537,14.0,0.01287350018363996,0.010437559285546856
15,2792.5034573683697,1087.8047555236058,15.0,0.0013273206255063092,0.0009277724095910521
