time,radius,xPos,yPos
2025-08-14T18:39:24,1030.0370037946764,2914.878035381066,3195.450428067465
2025-08-14T18:39:44,1075.8774263052892,2797.3403546201735,2925.3496534037936
2025-08-14T18:40:04,1085.972186094046,2669.153555714489,2629.3874027043503
2025-08-14T18:40:24,1129.8683390854344,2569.694762713877,2368.913604749078
2025-08-14T18:40:45,1134.5862910752098,2434.4014704943456,2074.8656349017806
2025-08-14T18:41:05,1125.8801763460203,2306.4307897805834,1766.3384259741952
2025-08-14T18:41:25,1112.1468418120273,2147.7876037857063,1408.387980879176
2025-08-14T18:41:45,1127.3999669887462,1992.5875049844142,1062.5879900520747
2025-08-14T18:42:05,1136.470550614653,1851.2618851452962,760.7076015791814
2025-08-14T18:42:25,1109.749142897122,1731.680314166108,509.589673632698
2025-08-14T18:42:45,1081.937621137185,1609.893041840858,262.338671415146
2025-08-14T18:43:05,1000.3613011663289,1513.8188613807504,65.29401350700743
