time,radius,xPos,yPos
2025-08-12T10:15:16,1058.7785402268644,977.5486871241552,2716.7556705183606
2025-08-12T10:15:36,1077.7134899453015,1166.1540489293945,2481.4569826890684
2025-08-12T10:15:56,1108.0536102575074,1354.5590401727559,2256.3497391519086
2025-08-12T10:16:16,1119.5032028998462,1553.0920372674532,2024.378407841375
2025-08-12T10:16:36,1116.885547212362,1768.9321901656083,1772.3385048887847
2025-08-12T10:16:56,1107.1148890096722,2008.9299286708913,1484.2012140091897
2025-08-12T10:17:16,1118.825547999271,2262.825960529978,1190.1020098770343
2025-08-12T10:17:36,1126.1294581044847,2478.235081011573,930.2365460033412
2025-08-12T10:17:57,1127.21717700256,2691.186712037951,686.89398739911
2025-08-12T10:18:17,1073.5491719994068,2856.8058596957553,489.34637576455157
2025-08-12T10:18:37,1059.4517408204217,3058.9740508535515,252.14852278700528
2025-08-12T10:18:57,1043.8363974217839,3190.8917834198123,-14.93875591836752
