time,radius,xPos,yPos
2025-08-02T09:42:58,1054.3387426578818,1276.1544223544506,2546.357608523864
2025-08-02T09:43:19,1077.4137864136433,1450.22821037454,2315.2926074636766
2025-08-02T09:43:42,1088.1517168860787,1644.3657119458635,2057.8141902038137
2025-08-02T09:43:56,1080.3960853078395,1785.1237357220161,1869.725743284856
2025-08-02T09:44:14,1064.013994453282,1988.1689562787735,1605.9535228414236
2025-08-02T09:44:31,1065.1240275831287,2171.5244923327773,1371.4991891032694
2025-08-02T09:44:50,1081.1784876357817,2368.284582731543,1097.8941437870894
2025-08-02T09:45:06,1078.4619426174056,2527.7431811868364,900.8072078592215
2025-08-02T09:45:21,1068.0342600361428,2650.685733046395,743.3943187264819
2025-08-02T09:45:34,1030.2155979895365,2747.8266614807876,614.8966160342334
2025-08-02T09:45:41,1034.1687024598118,2819.4302050532415,525.7786354317636
