,x,y,t,xE,yE
0,843.4019138755981,558.0,0.0,4.623757681049154,3.7185684337083607
1,302.2857142857143,508.9183673469388,1.0,3.7670248460125917,3.4905318076806546
2,592.3532608695652,358.8097826086956,2.0,3.9384103802487895,3.7171330637482676
3,794.8130311614731,566.2039660056657,3.0,4.239855433641471,6.909228227213822
4,310.49006622516555,572.3311258278146,4.0,3.31336356914082,4.221863394354582
5,301.91329479768785,568.6763005780347,5.0,3.652301057845665,4.401702792141523
6,326.29842931937173,509.4554973821989,6.0,9.115888416206726,3.0470754391167505
7,822.125,549.3928571428571,7.0,2.2445370187571934,2.0325790393045993
8,280.15492957746477,521.1971830985915,8.0,2.3234741309715905,2.4299754726047795
9,846.832512315271,570.1477832512315,9.0,4.1878933055318255,4.099481225417674
