time,radius,xPos,yPos
2025-08-10T10:22:45,1053.052179443052,1005.6572125711305,2840.4593375099807
2025-08-10T10:23:05,1057.8117512706872,1183.1343216681555,2571.509573111825
2025-08-10T10:23:26,1095.9405916475253,1338.6557448244853,2340.398567643054
2025-08-10T10:23:46,1122.9264051142156,1486.4743066347705,2088.369262014293
2025-08-10T10:24:06,1117.8560270390574,1669.599653988878,1806.7905184055235
2025-08-10T10:24:26,1110.7731325280147,1869.763783452813,1498.2972454942926
2025-08-10T10:24:46,1121.6623082566307,2081.9433810807,1167.3135597378719
2025-08-10T10:25:06,1130.7406604286928,2285.6954159448114,885.1088466941819
2025-08-10T10:25:26,1138.4905496377446,2479.2149212674494,608.3535680780202
2025-08-10T10:25:46,1110.418406569629,2642.5600040226127,367.85301323740805
2025-08-10T10:26:06,1078.6060630522297,2799.883243150882,125.57343669705642
2025-08-10T10:26:26,1034.7349434683647,2965.0875207242134,-119.40730645343899
