,x,y,t,xE,yE
0,737.0963855421687,515.2469879518072,0.0,5.3224110349400116,5.008951922438528
1,136.3846153846154,562.0,1.0,3.5043747565705052,2.2286841335265453
2,903.9774436090225,359.45112781954884,2.0,3.5444888183858274,3.0471635162787636
3,559.6086956521739,403.04347826086956,3.0,2.873251913694014,3.1988892212027933
4,215.9957805907173,653.2447257383966,4.0,4.162823095044508,5.630614743803291
5,701.5798525798526,560.8378378378378,5.0,7.801145696610305,5.934386798684945
6,735.1470588235294,331.20588235294116,6.0,7.583388785175664,2.7947367735115933
7,683.4879518072289,515.6204819277109,7.0,6.921885974462494,4.472196814325029
8,117.91851851851852,641.0222222222222,8.0,3.119952164523733,3.458680259261106
9,172.65151515151516,542.8409090909091,9.0,6.917790907338065,6.270215241405491
10,708.469512195122,499.640243902439,10.0,3.6947949223392578,9.5820507983149
11,876.7359550561798,345.1685393258427,11.0,3.776472023171929,3.793062724596462
12,907.3687943262412,382.97163120567376,12.0,4.583985920042197,3.5469360714842915
13,752.5714285714286,505.29714285714283,13.0,7.276913451990143,2.679603991454784
14,681.3434343434343,493.0808080808081,14.0,2.903016947453867,2.7512229335031524
15,721.2867132867133,497.4475524475524,15.0,4.437006452604372,2.7011479602556596
16,137.88990825688074,554.6238532110092,16.0,3.625443850185692,2.5115841370608236
