,x,y,t,xE,yE
0,609.4709976798144,404.477958236659,0.0,0.15184874364423254,0.09650984844739091
1,138.39412500000006,637.5227500000001,1.0,0.05886645299139364,0.04411752136760868
2,750.446958116784,495.95200244573533,2.0,0.07440909717616019,0.06964950455886096
3,246.81000079497582,650.7272438190636,3.0,0.1340985839061668,0.06157605671282357
4,899.7624764595103,349.4247881355932,4.0,0.059506162480550365,0.010855428763246135
5,724.644226103833,518.3725133430374,5.0,0.04898800859493912,0.08339769677893648
6,209.76939706942107,534.6480903194812,6.0,0.22095662832812138,0.12397456385417481
7,163.15024990388312,554.6469819300269,7.0,0.07063363025342444,0.048588355729679455
8,743.7533280085198,564.0576411075613,8.0,0.282616711448686,0.0534570071428568
9,780.6773014882809,514.428125835487,9.0,0.15944434542378919,0.05077026840912331
