time,radius,xPos,yPos
2025-08-15T13:19:47,997.8035207658726,3407.450872644029,2961.8409078322093
2025-08-15T13:20:07,1006.7521261038235,3141.8998091561893,2756.4627701985223
2025-08-15T13:20:28,1081.803672166445,2957.849370064802,2596.1099749553728
2025-08-15T13:20:48,1110.1264149643478,2747.6961816425464,2403.049077183931
2025-08-15T13:21:08,1121.9609984344286,2532.8740110316853,2189.3511515900195
2025-08-15T13:21:28,1117.1752388854538,2277.196970196773,1972.6640839174665
2025-08-15T13:21:48,1103.6819635451131,1996.9262634913716,1735.2510876592407
2025-08-15T13:22:08,1109.0027297160157,1706.6917016250052,1478.2243078021916
2025-08-15T13:22:28,1113.7330205921571,1446.429226671822,1243.0512791868537
2025-08-15T13:22:48,1114.844352227546,1207.8723637488429,1023.9319549403561
2025-08-15T13:23:08,1084.0727721676856,998.0535793869493,826.8620408289423
2025-08-15T13:23:28,1072.5102445552266,777.0616472081537,604.5538685719339
