,x,y,t,xE,yE
0,787.9676113360324,547.8461538461538,0.0,4.3980769125951245,4.64014948373348
1,481.29801324503313,535.8278145695364,1.0,4.985800635137199,3.3370518562712443
2,240.83636363636364,506.7090909090909,2.0,2.745334133422056,3.186178830070604
3,593.34375,527.5416666666666,3.0,3.7481332159045078,4.165624869759105
4,560.1645021645022,640.1125541125541,4.0,4.018220901224107,4.600523964641019
5,410.5113636363636,617.1931818181819,5.0,4.875715141442932,8.419212274944641
6,924.0705882352942,428.90588235294115,6.0,2.3653788916446477,2.85172199540915
7,94.11627906976744,402.1162790697674,7.0,1.8452869232444065,1.8452869232444067
8,532.748502994012,532.1676646706587,8.0,4.525005128358163,3.0438958148835535
9,252.36054421768708,562.2108843537414,9.0,3.0393016970791047,3.8601950754643926
10,757.0457516339869,537.843137254902,10.0,3.443929715604942,3.575730917664272
11,551.7234042553191,510.0425531914894,11.0,3.133227060923137,2.7711081338922625
12,747.051724137931,557.8965517241379,12.0,3.2848786981913274,2.802029161114924
13,577.5333333333333,523.66,13.0,3.5245173034363475,3.496340944473236
